title,cluster
Three Wishes,7
Total Eclipse,19
"To Wong Foo, Thanks for Everything! Julie Newmar",1
Under Siege 2: Dark Territory,2
Unstrung Heroes,8
Unzipped,11
A Walk in the Clouds,19
Waterworld,0
White Man's Burden,7
Wild Bill,14
The Browning Version,7
Bushwhacked,0
Утомлённые солнцем,7
Before the Rain,29
Before Sunrise,19
Billy Madison,1
The Babysitter,18
Boys on the Side,8
The Cure,7
Castle Freak,4
Circle of Friends,19
Clerks,1
Don Juan DeMarco,15
Disclosure,23
Dream Man,18
Drop Zone,0
Destiny Turns on the Radio,22
Death and the Maiden,18
Dolores Claiborne,3
Dumb and Dumber,1
飲食男女,15
Exotica,7
Exit to Eden,13
Ed Wood,8
French Kiss,13
Forget Paris,15
Far from Home: The Adventures of Yellow Dog,9
A Goofy Movie,20
Hideaway,18
Fluke,7
Farinelli,7
Gordy,7
The Glass Shield,23
Hoop Dreams,11
Heavenly Creatures,7
Houseguest,1
Immortal Beloved,19
Heavyweights,8
The Hunted,2
I.Q.,15
Interview with the Vampire,17
Jefferson in Paris,19
The Jerky Boys,1
Junior,13
Just Cause,28
A Kid in King Arthur's Court,22
Kiss of Death,23
Star Wars,24
Little Women,19
A Little Princess,7
Ladybird Ladybird,7
L'Enfer,3
Como agua para chocolate,19
Legends of the Fall,29
Major Payne,22
Little Odessa,9
Mi Vida Loca,3
Love Affair,19
Losing Isaiah,7
The Madness of King George,8
Frankenstein,19
Man of the House,1
Mixed Nuts,15
Milk Money,13
Miracle on 34th Street,7
Miami Rhapsody,13
My Family,8
Murder in the First,3
Nobody's Fool,8
Nell,18
New Jersey Drive,3
New York Cop,23
Beyond Bedlam,17
Nemesis 2 - Nebula,2
Nina Takes a Lover,19
Natural Born Killers,23
Only You,15
Once Were Warriors,7
Poison Ivy II: Lily,19
Outbreak,28
Léon,23
The Perez Family,15
A Pyromaniac's Love Story,15
Pulp Fiction,10
Panther,7
Pushing Hands,8
Priest,19
Quiz Show,7
Picture Bride,7
La Reine Margot,7
The Quick and the Dead,14
Prêt-à-Porter,8
Trois couleurs : Rouge,19
Trois couleurs : Bleu,7
Trois couleurs : Blanc,8
Pao Da Shuang Deng,7
Rent-a-Kid,1
Relative Fear,17
Stuart Saves His Family,8
The Swan Princess,20
The Secret of Roan Inish,7
The Specialist,2
Stargate,24
The Santa Clause,22
The Shawshank Redemption,3
Shallow Grave,10
Suture,18
Fresa y chocolate,8
Swimming with Sharks,1
The Sum of Us,15
Senior Trip,1
活着,19
Tank Girl,22
Tales from the Crypt: Demon Knight,21
Star Trek: Generations,2
Tales from the Hood,27
Tom & Viv,19
Village of the Damned,26
Tommy Boy,1
Vanya on 42nd Street,19
The Underneath,10
The Walking Dead,29
What's Eating Gilbert Grape,19
Virtuosity,10
While You Were Sleeping,15
The War,7
Double Happiness,13
Muriel's Wedding,15
The Baby-Sitters Club,8
Ace Ventura: Pet Detective,1
"The Adventures of Priscilla, Queen of the Desert",8
Backbeat,7
Bitter Moon,19
Bullets Over Broadway,2
Clear and Present Danger,28
The Client,23
"Corrina, Corrina",15
Crooklyn,8
The Crow,2
Cobb,7
The Flintstones,22
Forrest Gump,15
Four Weddings and a Funeral,15
Higher Learning,3
I Like It Like That,15
I Love Trouble,13
It Could Happen to You,15
The Jungle Book,16
Die Macht der Bilder: Leni Riefenstahl,11
The Lion King,20
Little Buddha,7
New Nightmare,5
The Mask,13
Maverick,0
Mrs. Parker and the Vicious Circle,7
The Naked Gun 33⅓: The Final Insult,1
The Paper,8
Reality Bites,7
Red Rock West,23
Ri¢hie Ri¢h,1
Safe Passage,7
The River Wild,0
Speed,0
Speechless,13
Timecop,10
True Lies,2
When a Man Loves a Woman,19
Wolf,16
Wyatt Earp,9
Bad Company,10
A Man of No Importance,8
S.F.W.,8
A Low Down Dirty Shame,10
"Boys Life: Three Stories of Love, Lust, and Liberation",7
Le colonel Chabert,7
"Faster, Pussycat! Kill! Kill!",10
Jason's Lyric,3
The Secret Adventures of Tom Thumb,24
Street Fighter,0
Coldblooded,1
Fall Time,23
The Fear,27
Girl in the Cadillac,3
Homage,18
Mirage,2
Open Season,1
Brother Minister: The Assassination of Malcolm X,11
Highlander III: The Sorcerer,24
In the Mouth of Madness,5
8 Seconds,19
Above the Rim,3
Addams Family Values,22
Martin Lawrence: You So Crazy,1
The Age of Innocence,19
Airheads,1
The Air Up There,1
Another Stakeout,1
Bad Girls,0
Barcelona,15
Being Human,8
The Beverly Hillbillies,1
Beverly Hills Cop III,10
Black Beauty,9
Blink,23
Blown Away,28
Blue Chips,7
Blue Sky,19
Body Snatchers,26
Boxing Helena,19
A Bronx Tale,3
Cabin Boy,1
Calendar Girl,8
Carlito's Way,23
City Slickers II: The Legend of Curly's Gold,8
Clean Slate,5
Cliffhanger,0
Coneheads,22
Color of Night,18
Cops & Robbersons,1
The Cowboy Way,14
Dangerous Game,7
Dave,1
Dazed and Confused,8
Demolition Man,24
Even Cowgirls Get the Blues,15
Fatal Instinct,1
霸王别姬,7
The Favor,15
Fearless,7
Fear of a Black Hat,1
With Honors,8
Flesh and Bone,19
Widows' Peak,13
For Love or Money,13
The Firm,18
Free Willy,16
Fresh,23
The Fugitive,10
Geronimo: An American Legend,9
The Getaway,28
Getting Even with Dad,1
Go Fish,19
A Good Man in Africa,8
Guilty as Sin,18
Hard Target,0
Heaven & Earth,29
Hot Shots! Part Deux,1
Live Nude Girls,1
The Englishman Who Went Up a Hill But Came Down a Mountain,15
The House of the Spirits,19
House Party 3,1
The Hudsucker Proxy,8
I'll Do Anything,8
In the Army Now,1
In the Line of Fire,23
In the Name of the Father,7
The Inkwell,15
What's Love Got to Do with It,7
Jimmy Hollywood,1
Judgment Night,10
Jurassic Park,24
Kalifornia,10
Killing Zoe,23
King of the Hill,7
Lassie,9
Last Action Hero,22
Life With Mikey,1
Lightning Jack,14
M. Butterfly,19
Made in America,1
Malice,3
The Man without a Face,7
Manhattan Murder Mystery,1
Menace II Society,3
Executive Decision,28
愛のコリーダ,19
What Happened Was...,15
Much Ado About Nothing,15
Mr. Jones,19
Mr. Wonderful,13
Mrs. Doubtfire,8
Naked,8
The Next Karate Kid,16
The New Age,8
No Escape,28
North,22
Orlando,19
A Perfect World,23
Philadelphia,7
The Piano,19
Poetic Justice,19
The Program,7
The Puppet Masters,26
Radioland Murders,15
The Ref,1
The Remains of the Day,19
Renaissance Man,1
Rising Sun,28
The Road to Wellville,13
RoboCop 3,0
Robin Hood: Men in Tights,1
Romeo Is Bleeding,23
Romper Stomper,28
Ruby in Paradise,19
Rudy,7
The Saint of Fort Washington,7
Les Nuits Fauves,7
Schindler's List,29
The Scout,8
Searching for Bobby Fischer,7
Second Best,7
The Secret Garden,7
Serial Mom,21
The Shadow,2
Shadowlands,19
Short Cuts,8
A Simple Twist of Fate,7
Sirens,8
Six Degrees of Separation,8
Sleepless in Seattle,15
Sliver,18
Blade Runner,18
Son in Law,15
So I Married an Axe Murderer,13
Striking Distance,10
Harem,19
Super Mario Bros.,22
Surviving the Game,0
Terminal Velocity,2
Thirty Two Short Films About Glenn Gould,7
Threesome,15
The Nightmare Before Christmas,20
The Three Musketeers,0
Tombstone,9
Trial by Jury,28
True Romance,10
The War Room,11
The Pagemaster,20
"Paris, France",8
Killer,19
Welcome to the Dollhouse,8
Germinal,19
Chasers,13
Cronos,4
Naked in New York,13
Kika,8
Bhaji on the Beach,8
Little Big League,1
Kådisbellan,7
Wide Eyed and Legless,15
Foreign Student,19
Io speriamo che me la cavo,1
Spanking the Monkey,8
The Little Rascals,13
À la mode,1
Andre,16
La scorta,23
Princess Caraboo,8
The Celluloid Closet,11
Métisse,15
Caro diario,8
De eso no se habla,19
The Brady Bunch Movie,1
Home Alone,1
Ghost,18
Aladdin,22
Terminator 2: Judgment Day,2
Dances with Wolves,14
Tough and Deadly,28
Batman,9
The Silence of the Lambs,23
Snow White and the Seven Dwarfs,20
Beauty and the Beast,20
Pinocchio,20
Pretty Woman,13
Окно в Париж,8
The Wild Bunch,14
Love and a .45,10
The Wooden Man's Bride,19
Bye Bye Love,13
One Fine Day,13
Candyman: Farewell to the Flesh,17
Century,19
Fargo,23
Homeward Bound II: Lost in San Francisco,8
Heavy Metal,24
Hellraiser: Bloodline,26
The Pallbearer,13
Jane Eyre,19
Loaded,18
Pane e cioccolata,1
The Aristocats,20
La flor de mi secreto,19
Two Much,13
Ed,1
Schrei aus Stein,11
Ma saison préférée,7
Condition Red,28
Asfour Stah,8
A Thin Line Between Love and Hate,13
The Last Supper,23
Primal Fear,23
Carried Away,19
All Dogs Go to Heaven 2,16
Land and Freedom,29
Denise Calls Up,1
Theodore Rex,22
A Family Thing,8
Frisk,18
Sgt. Bilko,1
Jack & Sarah,15
Girl 6,1
Diabolique,4
Un indien dans la ville,8
Roula - Dunkle Geheimnisse,19
Nelly & Monsieur Arnaud,19
Courage Under Fire,18
Mission: Impossible,0
Á köldum klaka,8
Moll Flanders,19
삼공일 삼공이,5
DragonHeart,16
My Mother's Courage,7
Eddie,1
Yankee Zulu,8
Plein soleil,23
August,15
James and the Giant Peach,20
Fear,19
Kids in the Hall: Brain Candy,1
Faithful,3
Podzemlje,8
Lust och fägring stor,19
Bloodsport II,2
পথের পাঁচালী,7
অপুর সংসার,7
Mystery Science Theater 3000: The Movie,1
Space Jam,22
Barbarella,24
Hostile Intentions,28
They Bite,21
Some Folks Call It a Sling Blade,18
The Run of the Country,19
"Alphaville, une étrange aventure de Lemmy Caution",24
Coup de torchon,7
Tigrero: A Film That Was Never Made,11
Windows,4
It's My Party,7
Country Life,19
Operation Dumbo Drop,0
Das Versprechen,19
Mrs. Winterbourne,15
Solo,2
The Substitute,2
True Crime,10
Butterfly Kiss,23
Feeling Minnesota,28
Delta of Venus,19
Angus,15
Daens,7
Faces,7
Boys,19
The Quest,0
Cosi,13
Sunset Park,7
Mulholland Falls,18
The Truth About Cats & Dogs,13
Oliver & Company,20
Celtic Pride,1
Flipper,16
Captives,18
Of Love and Shadows,7
Dead Man,7
Le Hussard sur le toit,29
Switchblade Sisters,3
Boca a boca,1
Les visiteurs,22
Multiplicity,22
"The Haunted World of Edward D. Wood, Jr.",11
Due Amici,7
The Craft,4
The Great White Hype,8
Last Dance,18
Cold Comfort Farm,15
"Institute Benjamenta, or This Dream People Call Human Life",7
Heaven's Prisoners,18
Original Gangstas,23
The Rock,0
Getting Away with Murder,1
Dellamorte Dellamore,21
Twister,9
Barb Wire,24
Le garçu,7
Honigmond,1
GHOST IN THE SHELL,12
Thinner,27
Spy Hard,1
Brothers in Trouble,8
A Close Shave,20
Force of Evil,3
The Stupids,1
The Arrival,2
The Man from Down Under,29
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8
Careful,21
A Month by the Lake,15
Gold Diggers: The Secret of Bear Mountain,7
Kim,16
Carmen Miranda: Bananas Is My Business,11
東邪西毒,9
Stalingrad,29
The Phantom,0
Striptease,23
The Last of the High Kings,8
Heavy,19
Jack,8
I Shot Andy Warhol,7
The Grass Harp,8
Tuđa Amerika,7
La vie est belle,25
Touki-Bouki,19
Wend Kuuni,7
Histoires extraordinaires,4
Pharaoh's  Army,29
Trainspotting,3
Til There Was You,13
Independence Day,24
Stealing Beauty,19
The Fan,18
The Hunchback of Notre Dame,20
The Cable Guy,8
Kingpin,1
Eraser,28
The Nutty Professor,22
"Yo, la peor de todas",7
Un été inoubliable,19
Somebody to Love,8
A Very Natural Thing,7
La vieille qui marchait dans la mer,1
Daylight,0
The Frighteners,21
Lone Star,19
Harriet the Spy,8
Phenomenon,19
Walking and Talking,15
She's the One,13
A Time to Kill,23
American Buffalo,7
Les Rendez-vous de Paris,13
Alaska,16
Fled,2
Kazaam,22
Larger Than Life,1
Power 98,2
Two Deaths,29
A Very Brady Sequel,1
Stefano Quantestorie,1
La mort en ce jardin,7
Hedd Wyn,29
La Collectionneuse,15
Echte Kerle,1
O Convento,18
The Adventures of Pinocchio,20
Joe's Apartment,22
The First Wives Club,1
Stonewall,15
Ransom,2
High School High,1
Phat Beach,1
Foxfire,28
Chain Reaction,28
Matilda,22
Emma,15
The Crow: City of Angels,2
House Arrest,1
Les Yeux sans visage,4
Bordello of Blood,21
Flirt,19
The Big Squeeze,7
The Spitfire Grill,8
Escape from L.A.,2
Xích lô,3
Basquiat,7
Tin Cup,15
Dingo,7
楢山節考,7
Un week-end sur deux,7
The Godfather,3
Der bewegte Mann,8
警察故事 III：超級警察,10
Manny & Lo,8
Tsuma,7
Bound,23
Carpool,1
Death in Brunswick,7
Kansas City,23
Gone Fishin',1
Lover's Knot,13
愛情萬歲,7
Schatten der Engel,7
Killer: A Journal of Murder,7
Nothing to Lose,3
超级计划,0
Girls Town,8
Bye-Bye,7
The Relic,5
The Island of Dr. Moreau,26
First Kid,1
The Trigger Effect,18
Bogus,22
Bulletproof,0
Talk of Angels,19
The Land Before Time III: The Time of the Great Giving,20
Halloween: The Curse of Michael Myers,27
Twelfth Night,15
Mother Night,7
Liebelei,19
Wenecja,19
Les Roseaux Sauvages,19
For Whom the Bell Tolls,19
The Philadelphia Story,13
Singin' in the Rain,13
An American in Paris,15
Funny Face,13
Breakfast at Tiffany's,15
Vertigo,5
Rear Window,18
It Happened One Night,13
Gaslight,23
The Gay Divorcee,13
North by Northwest,5
The Apartment,15
Some Like It Hot,13
Charade,13
Casablanca,19
The Maltese Falcon,10
My Fair Lady,19
Sabrina,15
Roman Holiday,13
The Little Princess,8
Meet Me in St. Louis,13
The Wizard of Oz,16
Gone with the Wind,6
My Favorite Year,8
Sunset Boulevard,7
Citizen Kane,6
2001: A Space Odyssey,24
Golden Earrings,16
All About Eve,7
The Women,8
Rebecca,7
Foreign Correspondent,5
Notorious,19
Spellbound,18
An Affair to Remember,19
To Catch a Thief,23
Father of the Bride,15
The Band Wagon,1
Ninotchka,13
Love in the Afternoon,15
Gigi,13
The Reluctant Debutante,13
The Adventures of Robin Hood,0
The Mark of Zorro,9
Laura,7
The Ghost and Mrs. Muir,5
Lost Horizon,16
Top Hat,13
To Be or Not to Be,1
My Man Godfrey,13
Giant,9
East of Eden,7
The Thin Man,1
His Girl Friday,8
Around the World in Eighty Days,6
It's a Wonderful Life,6
Mr. Smith Goes to Washington,6
Bringing Up Baby,13
Penny Serenade,19
The Scarlet Letter,7
Lady of Burlesque,13
Of Human Bondage,7
Angel on My Shoulder,13
Little Lord Fauntleroy,7
They Made Me a Criminal,6
The Inspector General,13
Angel and the Badman,14
The 39 Steps,2
A Walk in the Sun,29
The Outlaw,0
Night of the Living Dead,17
The African Queen,16
Beat the Devil,15
Cat on a Hot Tin Roof,19
The Last Time I Saw Paris,19
Meet John Doe,15
Algiers,19
Something to Sing About,1
A Farewell to Arms,19
Moonlight Murder,25
Nothing Personal,7
Huang jia shi jie,9
Dangerous Ground,7
Picnic,19
The Pompatus of Love,15
Fly Away Home,9
Bliss,19
Grace of My Heart,8
Schlafes Bruder,7
Maximum Risk,0
Michael Collins,18
The Rich Man's Wife,18
Infinity,19
Big Night,7
Last Man Standing,23
Caught,28
Set It Off,3
2 Days in the Valley,1
Curdled,10
Extreme Measures,18
The Glimmer Man,23
D3: The Mighty Ducks,8
The Chamber,3
The Apple Dumpling Gang,1
"Davy Crockett, King of the Wild Frontier",0
Escape to Witch Mountain,16
The Love Bug,22
Herbie Rides Again,22
Old Yeller,7
The Parent Trap,1
Pollyanna,16
Homeward Bound: The Incredible Journey,8
The Shaggy Dog,1
Swiss Family Robinson,16
That Darn Cat!,8
"20,000 Leagues Under the Sea",24
Cool Runnings,1
Angels in the Outfield,22
Cinderella,20
Winnie the Pooh and the Blustery Day,20
The Three Caballeros,20
The Sword in the Stone,20
So Dear to My Heart,20
Robin Hood: Prince of Thieves,16
Mary Poppins,22
Dumbo,20
Pete's Dragon,22
Bedknobs and Broomsticks,22
Alice in Wonderland,16
The Fox and the Hound,20
Freeway,8
The Sound of Music,19
Die Hard,2
The Lawnmower Man,26
Unhook the Stars,19
The Secret Agent,18
Secrets & Lies,7
That Thing You Do!,8
To Gillian on Her 37th Birthday,19
Surviving Picasso,19
Love Is All There Is,13
Beautiful Thing,15
The Long Kiss Goodnight,10
The Ghost and the Darkness,16
Looking for Richard,11
Trees Lounge,8
Normal Life,3
Get on the Bus,7
Shadow Conspiracy,2
Jude,19
Everyone Says I Love You,13
Azúcar amarga,19
Romeo + Juliet,19
Swingers,13
Sleepers,23
The Sunchaser,7
Johns,7
Aladdin and the King of Thieves,20
The Woman in Question,5
Shall We Dance,13
A Damsel in Distress,13
Crossfire,23
"Murder, My Sweet",23
Macao,19
For the Moment,29
Willy Wonka & the Chocolate Factory,16
La vie sexuelle des Belges 1950-1978,13
The Innocents,17
Sleeper,13
Bananas,1
A Fish Called Wanda,1
Life of Brian,1
Victor/Victoria,13
The Candidate,8
The Great Race,1
Bonnie and Clyde,3
The Old Man and the Sea,7
Dial M for Murder,10
Dirty Dancing,19
Reservoir Dogs,10
Platoon,29
Weekend at Bernie's,1
Basic Instinct,5
The Doors,7
The Crying Game,23
Glengarry Glen Ross,3
Sophie's Choice,19
E.T. the Extra-Terrestrial,16
The Search for One-eye Jimmy,1
A Christmas Carol,7
Days of Thunder,16
Top Gun,9
American Strays,1
Rebel Without a Cause,7
A Streetcar Named Desire,7
Children of the Corn IV: The Gathering,17
The Leopard Son,11
Charms Zwischenfälle,1
Microcosmos : Le Peuple de l'herbe,11
Palookaville,1
The Associate,1
The Funeral,3
The Sleepover,21
La fille seule,7
Le huitième jour,7
North Star,9
Drunks,7
The People vs. Larry Flynt,7
Glory Daze,1
A Perfect Candidate,11
On Golden Pond,7
The Return of the Pink Panther,1
Drop Dead Fred,22
The Abyss,2
The Fog,17
Escape from New York,24
The Howling,17
Jean de Florette,7
Manon des Sources,7
Johnny cien pesos,7
Private Benjamin,1
Monty Python and the Holy Grail,22
Hustler White,19
Everything Relative,7
Entertaining Angels - The Dorothy Day Story,7
Trois vies et une seule mort,1
When We Were Kings,11
The Wrong Trousers,20
JLG/JLG - autoportrait de décembre,11
Le Retour de Martin Guerre,3
Faust,7
He Walked by Night,18
Raw Deal,10
T-Men,10
I bambini ci guardano,7
La symphonie pastorale,7
Six of a Kind,1
Die Blechtrommel,29
The Ruling Class,8
Mina Tannenbaum,8
Deux ou trois choses que je sais d'elle,8
Dear God,1
Bad Moon,17
American Dream,11
Best of the Best 3: No Turning Back,9
Bob Roberts,8
Nuovo Cinema Paradiso,19
"The Cook, the Thief, His Wife & Her Lover",3
Grosse fatigue,1
Delicatessen,22
La double vie de Véronique,18
Enchanted April,19
Paths of Glory,29
The Grifters,3
Hear My Song,1
The Shooter,14
The English Patient,19
Mediterraneo,13
My Left Foot: The Story of Christy Brown,7
"Sex, Lies, and Videotape",7
Passion Fish,7
Strictly Ballroom,15
The Thin Blue Line,11
¡Átame!,15
Madonna: Truth or Dare,25
Paris is Burning,11
One Flew Over the Cuckoo's Nest,7
Up in Smoke,1
The Empire Strikes Back,24
The Princess Bride,22
Raiders of the Lost Ark,0
Brazil,1
Aliens,26
"Il buono, il brutto, il cattivo",14
Withnail & I,8
12 Angry Men,7
Lawrence of Arabia,29
A Clockwork Orange,24
To Kill a Mockingbird,3
Apocalypse Now,29
C'era una volta il West,14
Return of the Jedi,24
Der Himmel über Berlin,19
The Third Man,5
GoodFellas,3
Alien,26
Army of Darkness,21
Le Grand Bleu,19
乱,9
喋血雙雄,23
Psycho,4
The Blues Brothers,10
The Godfather: Part II,3
Full Metal Jacket,29
A Grand Day Out,20
Henry V,29
Amadeus,7
The Quiet Man,15
Once Upon a Time in America,3
Raging Bull,7
Annie Hall,15
The Right Stuff,7
Сталкер,18
Das Boot,29
The Sting,3
Harold and Maude,15
Trust,8
Det sjunde inseglet,7
Local Hero,8
The Terminator,2
Braindead,21
Glory,29
Rosencrantz & Guildenstern Are Dead,8
Manhattan,15
Miller's Crossing,23
Dead Poets Society,7
The Graduate,7
Touch of Evil,23
Nikita,2
The Bridge on the River Kwai,29
8½,7
Chinatown,23
The Day the Earth Stood Still,18
The Treasure of the Sierra Madre,9
Bad Taste,21
Duck Soup,1
Better Off Dead...,1
The Shining,27
Stand by Me,3
M,23
Evil Dead II,21
The Great Escape,29
The Deer Hunter,29
Diva,28
Groundhog Day,15
Unforgiven,14
The Manchurian Candidate,5
Pump up the Volume,7
Arsenic and Old Lace,1
Back to the Future,22
Fried Green Tomatoes,8
Patton,29
Down by Law,3
アキラ,24
Highlander,16
Cool Hand Luke,3
Cyrano de Bergerac,15
Young Frankenstein,1
Night on Earth,8
大红灯笼高高挂,7
The Great Dictator,1
Fantasia,20
High Noon,14
The Big Sleep,23
Heathers,8
Somewhere in Time,19
Ben-Hur,9
This Is Spinal Tap,1
Koyaanisqatsi,25
Some Kind of Wonderful,19
Indiana Jones and the Last Crusade,0
Being There,8
Gandhi,7
The Unbearable Lightness of Being,13
A Room with a View,19
Real Genius,13
Pink Floyd: The Wall,25
The Killing Fields,29
Mitt liv som hund,8
Forbidden Planet,24
Field of Dreams,7
The Man Who Would Be King,7
Butch Cassidy and the Sundance Kid,3
"Paris, Texas",7
Bis ans Ende der Welt,28
When Harry Met Sally...,15
Hype!,25
Santa with Muscles,1
Female Perversions,19
Mad Dog Time,3
Breathing Room,13
Paris Was a Woman,11
I'm Not Rappaport,1
Blue Juice,13
Alien³,26
An American Werewolf in London,21
Amityville: It's About Time,17
Amityville 3-D,27
Amityville: Dollhouse,17
Amityville: A New Generation,17
Amityville II: The Possession,17
The Amityville Horror,4
The Amityville Curse,17
Blood for Dracula,17
April Fool's Day,5
Audrey Rose,4
The Believers,4
The Birds,17
The Blob,26
Blood Beach,21
Body Parts,27
The Body Snatcher,27
Dracula,17
Bride of Frankenstein,26
Burnt Offerings,17
Candyman,4
Cape Fear,10
Cape Fear,18
Carrie,27
Cat People,4
A Nightmare on Elm Street,17
"Nosferatu, eine Symphonie des Grauens",17
Nosferatu a Venezia,17
The Omen,27
Blood and Wine,23
Albino Alligator,23
The Mirror Has Two Faces,15
Breaking the Waves,19
Nightwatch,4
Star Trek: First Contact,2
Shine,7
Sling Blade,7
Jingle All the Way,1
Identificazione di una donna,19
Paradise Lost: The Child Murders at Robin Hood Hills,11
The Preacher's Wife,22
Kjærlighetens kjøtere,18
Ridicule,15
The Crucible,7
101 Dalmatians,1
Il Cristo proibito,7
J'ai pas sommeil,7
Die Hard 2,2
Star Trek: The Motion Picture,24
Star Trek VI: The Undiscovered Country,2
Star Trek V: The Final Frontier,2
Star Trek II: The Wrath of Khan,2
Star Trek III: The Search for Spock,2
Star Trek IV: The Voyage Home,24
Batman Returns,9
Young Guns,9
Young Guns II,14
Grease,19
Grease 2,15
Marked for Death,2
Adrenalin: Fear the Rush,2
The Substance of Fire,7
Under Siege,2
Terror in a Texas Town,14
Jaws,27
Jaws 2,27
Jaws 3-D,27
My Fellow Americans,8
Mars Attacks!,22
Citizen Ruth,8
Jerry Maguire,15
Raising Arizona,1
Tin Men,8
Sneakers,3
Bastard Out of Carolina,7
In Love and War,19
Marvin's Room,7
Somebody Is Waiting,7
Ghosts of Mississippi,7
Night Falls on Manhattan,3
Beavis and Butt-Head Do America,1
La Cérémonie,18
Scream,5
The Last of the Mohicans,29
Michael,8
The Evening Star,15
Hamlet,7
Some Mother's Son,7
The Whole Wide World,19
Mother,1
Les voleurs,3
Evita,7
The Portrait of a Lady,19
Walkabout,7
Message to Love: The Isle of Wight Festival,25
Murder at 1600,23
Hearts and Minds,19
Inside,3
Fierce Creatures,13
Zeus & Roxanne,0
Turbulence,10
Angel Baby,7
警察故事4之簡單任務,23
Underworld,28
Beverly Hills Ninja,1
Metro,0
La machine,26
Falling in Love Again,19
The Cement Garden,7
Dante's Peak,0
Meet Wally Sparks,1
Amos & Andrew,1
Benny & Joon,15
Prefontaine,19
McHale's Navy,13
